"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"NhVNS.1";"NhVNS.2";"NhVNS.3";"VhVNS.1";"VhVNS.2";"VhVNS.3";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"NhLH.1";"NhLH.2";"NhLH.3";"VhLH.1";"VhLH.2";"VhLH.3";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"NhKO.1";"NhKO.2";"NhKO.3";"VhKO.1";"VhKO.2";"VhKO.3";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"NhBarca.1";"NhBarca.2";"NhBarca.3";"VhBarca.1";"VhBarca.2";"VhBarca.3";"cvBarca"
"AgrMinas.txt";1197026;81;19;29;33;582;227;35;78749,4917425397;1325944,71924547;73767958,7053061;0,04991;81;19;27;35;581;225;38;77782,4647337814;1193061,19506173;71385201,0747922;0,0496892013963313;82;18;28;36;575;231;38;72579,8102079395;1202970,07391166;71385201,0747922;0,0491171423941074;81;18;28;35;581;226;37;77782,4647337814;1230785,78919649;72105549,6756757;0,0496550129861368;82;18;23;41;582;216;46;78614,1833374836;955421,240952794;64657447,7964988;0,0496207497764606
"anaemia_Haemoglobin.txt";8857,7;6;2;2;2;230;43;451;1,1977809073724;0,00248783126014069;0,91969862488385;0,03984;6;2;2;2;174;291;259;1,07910688333994;0,236334951169684;0,594138429659665;0,0241764724139564;6;2;2;2;182;303;239;1,0952397053496;0,24973063642998;0,572094326079725;0,0240896858594581;6;2;2;2;174;291;259;1,07910688333994;0,236334951169684;0,594138429659665;0,0241764724139564;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;54;10;10;34;313;80;37;28775,4058732864;604294,79859375;30314614,3564646;0,04914;54;8;12;34;309;84;37;25461,6124255087;613318,661422902;30314614,3564646;0,0489257816205738;54;9;11;34;309;84;37;25461,6124255087;613318,661422902;30314614,3564646;0,0488916999575148;54;9;11;34;309;84;37;25461,6124255087;613318,661422902;30314614,3564646;0,0488916999575148;53;8;11;34;307;86;37;24271,7766075538;612985,652332498;29495300,4549385;0,049961383848786
"beta103.txt";772267,136016;6;2;2;2;317;251;432;6240,20003959878;589,985459415676;1742,58524534879;0,02872;6;2;2;2;189;397;414;5279,56368408934;1471,37318644807;1627,24058344069;0,0241364647615469;6;2;2;2;189;397;414;5279,56368408934;1471,37318644807;1627,24058344069;0,0241364647615469;6;2;2;2;189;397;414;5279,56368408934;1471,37318644807;1627,24058344069;0,0241364647615469;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;76;31;28;17;6877;2980;120;7,65736908632119;32,6934970271609;6585,68222222222;0,04997;76;32;28;16;6877;2974;126;7,65736908632119;31,818943848254;6297,91131267322;0,0499617882718282;81;23;35;23;5729;4040;208;5,23864555489809;25,2932788452113;3983,37072392751;0,0491371481066008;77;32;28;17;6877;2974;126;7,65736908632119;31,818943848254;6297,91131267322;0,0496163608369422;77;32;27;18;6877;2954;146;7,65625561110141;29,3064652573081;5467,77576719012;0,0496312081054947
"chi1.txt";939,601297267;72;20;23;29;602;283;115;0,0396604365236429;0,235806490147198;2,22234680343311;0,05;72;20;23;29;603;282;115;0,0399940730848044;0,234992575234632;2,22234680343311;0,0499999826274009;73;20;24;29;600;285;115;0,0389965826154121;0,237414104246576;2,22234680343311;0,0496036427890007;73;21;23;29;603;282;115;0,0399940730848044;0,234992575234632;2,22234680343311;0,0496062446887706;73;22;25;26;614;284;102;0,0437137051517801;0,262797920137208;2,24053692730491;0,0495032076183276
"chi5.txt";5051,940520634;28;9;7;12;451;338;211;0,866202498026684;1,01368367669979;8,08258712339106;0,04995;28;10;7;11;498;338;164;1,02240628409096;1,23684549501067;8,19350170559342;0,049803612698967;30;10;9;11;465;359;176;0,910594601454284;1,27035768410865;8,15828743996368;0,0478923186623431;28;10;8;10;490;344;166;0,995399743251359;1,25620121963059;8,18539449807196;0,0495880851915643;29;7;11;11;388;428;184;0,696364764425535;1,52574531138002;8,10173864656556;0,0496465412442993
"Debtors.txt";2825374;120;44;30;46;2726;505;138;51819,9555461416;690418,298637389;21095163,0168032;0,05;120;41;34;45;2672;561;136;45157,6092913817;727690,361640945;21177637,7114511;0,0499222971614431;121;37;33;51;2614;596;159;39198,4720219359;576146,190588262;20200271,7246944;0,0497986161398874;120;40;35;45;2661;572;136;43922,0071247794;730907,856129884;21177637,7114511;0,0499252032437012;120;42;31;47;2688;536;145;47013,7750767745;651523,501468557;20650626,7322691;0,0499210492145704
"GAMMA2000.txt";7996,7492586906;29;10;7;12;947;653;400;0,615167346831337;0,663754456396303;5,02420009998633;0,04995;29;11;9;9;996;690;314;0,673136442993295;0,901197110017149;4,67190550008583;0,0495177489841197;30;10;9;11;946;708;346;0,614000594180855;0,852236593899046;4,81963208078302;0,0487562865686781;29;11;9;9;996;690;314;0,673136442993295;0,901197110017149;4,67190550008583;0,0495177489841197;29;9;8;12;914;695;391;0,5769401346817;0,734074641699498;4,97610267427425;0,0497519122175206
"hies_income.txt";58274058,847893;42;13;11;18;1956;1175;435;9173473,16322398;18877106,6492424;340261550,121997;0,04991;42;16;12;14;2170;1097;299;11471667,198474;27708473,5363427;366796149,019054;0,0495341996109319;43;15;12;16;2082;1118;366;10442695,0981498;22449312,7333177;353380343,031502;0,0489549421541767;42;16;13;13;2169;1098;299;11459295,482058;27728767,4916155;366796149,019054;0,0494337122539916;42;18;13;11;2290;1022;254;13163075,5092468;31468204,4991961;375601554,032356;0,0497602873865986
"iso2004.txt";135501719204;42;9;9;24;350;113;24;1520140950377633;19605829799915536;3785732705148553728;0,04992;42;10;8;24;360;103;24;1797846230230448;18879052680598344;3785732705148553728;0,0499141529822721;43;10;10;23;357;107;23;1700580118054752;20733901399332092;3859389024349039104;0,0481604255701332;42;9;10;23;356;108;23;1672050646218626;20805497551952076;3859389024349039104;0,0494903110756489;42;9;11;22;351;114;22;1535602750461756;23153231578234156;3761998256501414400;0,0496145982565741
"Kozak1.txt";64445;12;4;4;4;1626;1674;700;4,23773580909241;4,8912416193123;33,3813551020408;0,04975;12;4;4;4;1626;1674;700;4,23773580909241;4,8912416193123;33,3813551020408;0,0497478441082743;14;3;4;7;1316;1699;985;3,26996470838222;3,76410110022133;34,0523424978742;0,0472688982657122;13;4;4;5;1626;1674;700;4,23773580909241;4,8912416193123;33,3813551020408;0,0477276355334732;12;4;4;4;1626;1674;700;4,23512957550749;4,88831973065081;33,333667451895;0,0497246819944981
"Kozak2.txt";11295808;37;10;13;14;1903;1616;481;237698,316961161;561582,409063756;7551922,17097091;0,04998;37;12;13;12;2104;1468;428;291709,030460719;571799,510865772;7762601,48849244;0,0497749258106527;38;13;12;13;2104;1468;428;291709,030460719;571799,510865772;7762601,48849244;0,0490217813442108;37;12;12;13;2098;1474;428;289945,830700127;574064,463651736;7762601,48849244;0,0496783092564137;37;15;12;10;2321;1355;324;361875,29273831;697576,846630504;8220449,31103877;0,0499648310071872
"Kozak3.txt";448235;57;20;16;21;1231;597;172;2211,64023622094;7163,58768717962;144640,831800974;0,04984;57;20;20;17;1251;616;133;2328,29426818258;9558,25465666638;152953,1305331;0,0495629971174709;58;20;18;20;1238;607;155;2251,03060854314;8099,88256719383;148246,457273673;0,0491675447365827;57;20;20;17;1251;616;133;2328,29426818258;9558,25465666638;152953,1305331;0,0495629971174709;58;16;22;20;1141;704;155;1758,69667876721;8997,38529339166;147290,028517069;0,0494629978478736
"ME84.txt";505256;40;9;15;16;183;85;16;70478,5628116695;969415,769411765;183230566,558594;0,04983;40;8;12;20;185;79;20;74942,0082980278;720808,166960423;156225281,69;0,0494673368196204;2600;10;10;6;218;60;6;165594,489857756;2002046,34972222;296377251,472222;0,0727602571580395;40;8;13;19;180;85;19;64493,9461728395;774844,529273356;162093890,554017;0,0490570681137766;41;6;7;28;176;80;28;57680,8053925912;379858,2526875;116793119,228681;0,0486634541212054
"mrts.txt";33765595,919363;74;17;25;32;1081;796;123;10931670,920827;43608693,6560412;2945667315,89651;0,04991;73;22;24;27;1230;668;102;14332654,6542938;52744770,0541992;3301177878,87753;0,0499866567681393;74;23;23;28;1231;667;102;14358143,7967046;52728692,8583383;3301177878,87753;0,0495833128507075;73;22;23;28;1227;670;103;14257029,2523155;52156437,1393709;3281977274,93712;0,0499680460939585;73;20;25;28;1181;717;102;13116289,4348918;53424417,6199925;3268813389,86893;0,0499156834588956
"p100e10.txt";99569,17584056;6;2;2;2;362;552;86;25,2811691206135;18,3538936910707;12,5946841016058;0,02126;6;2;2;2;304;398;298;22,2130487259299;7,6305457811776;21,8232978431395;0,0161427545519407;6;2;2;2;304;398;298;22,2130487259299;7,6305457811776;21,8232978431395;0,0161427545519407;6;2;2;2;304;404;292;22,2130487259299;7,88599825848629;21,5969047972193;0,0161145346581048;0;0;0;0;0;0;0;0;0;0;Inf
"p75.txt";8182;38;9;13;16;185;83;16;21,5214024835646;187,776164900566;24703,625;0,04916;38;9;11;18;185;81;18;21,5214024835646;162,076817558299;22850,1358024691;0,0491016594739184;39;10;14;15;184;85;15;20,8443998109641;201,013979238754;25722,1955555556;0,0478668157383069;38;9;13;16;184;84;16;20,8443998109641;188,320861678005;24703,625;0,0490361424734023;38;9;15;14;180;90;14;18,8759060356653;217,436034293554;24918,6359329447;0,0492533713469235
