"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"cvBarca"
"AgrMinas.txt";1197026;49;11;9;11;18;537;195;91;21;49600,1208451671;216034,939487179;1682721,82538341;83659753,5147392;0,04978;49;11;9;12;17;537;195;92;20;49600,1208451671;216034,939487179;1798910,5022448;83776921,1875;0,0497278298206413;51;10;9;13;19;510;211;102;21;38810,9097308727;200877,429572561;1795605,37110727;83659753,5147392;0,0485671160161499;50;12;9;12;17;537;197;91;19;49600,1208451671;227359,253162926;1921516,04347301;83836979,0858726;0,0489937762798192;50;10;9;14;17;515;205;105;19;40568,4643584279;190733,985106426;2040629,87553309;79424506,5024055;0,0492595916813371
"anaemia_Haemoglobin.txt";8857,7;8;2;2;2;2;22;152;400;150;0,426280991735537;0,469792243767313;0,4239419375;0,458072888888889;0,02376;8;2;2;2;2;88;215;271;150;0,786714876033058;0,230261546782044;0,178944186489835;0,458072888888889;0,0159084932964886;8;2;2;2;2;105;234;235;150;0,883718820861678;0,231217218204398;0,133355545495699;0,458072888888889;0,0158820493320475;8;2;2;2;2;88;215;271;150;0,786714876033058;0,230261546782044;0,178944186489835;0,458072888888889;0,0159084932964886;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;36;9;6;10;11;302;74;40;14;21765,1412328407;231256,472790358;2051902,249375;20295988,7806122;0,04987;36;7;6;11;12;299;76;40;15;20376,9154707442;220875,684729917;1814774,71;22139850,8622222;0,0496259089404953;38;6;5;10;17;279;84;48;19;13623,0909931784;126251,485827664;1520043,55164931;27396891,5235457;0,0480456150270696;37;7;7;10;13;294;81;40;15;18311,3208963858;229133,582990398;1814774,71;22139850,8622222;0,0482855305351731;35;7;7;9;12;294;81;40;15;18249,0374919763;226304,773323849;1769405,34225;20663860,8047408;0,0499888086391842
"beta103.txt";772267,136016;8;2;2;2;2;232;294;295;179;5681,47395321601;798,920080504647;683,681166294079;480,143664092976;0,01934;8;2;2;2;2;115;309;296;280;3859,17147060887;1144,44540364847;675,311574974053;856,658465398683;0,0154348906378715;8;2;2;2;2;115;321;286;278;3859,17147060887;1208,37448326611;616,273581534261;847,628758847735;0,0155650615872726;8;2;2;2;2;115;309;296;280;3859,17147060887;1144,44540364847;675,311574974053;856,658465398683;0,0154348906378715;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;40;13;10;11;6;5102;3655;1182;38;4,26346901876744;5,69110649916442;53,8369829735943;18456,2853185596;0,0499;40;14;10;12;4;5102;3655;1198;22;4,26346901876744;5,69110649916442;68,7181947653435;29501,7210743802;0,0498382259506101;50;5;13;20;12;2685;4713;2478;101;1,83689425701098;3,88514813525743;35,4160075980981;7711,39613763356;0,0491590841124326;41;13;11;12;5;5102;3655;1198;22;4,26346901876744;5,69110649916442;68,7181947653435;29501,7210743802;0,0490859222088907;44;10;21;8;5;4285;4906;764;22;3,23664525311845;11,3596495566844;71,6672950052642;28160,7337528175;0,0494889274528882
"chi1.txt";939,601297267;42;6;9;13;14;462;276;193;69;0,0101998713920543;0,0638907600898034;0,244106442976789;2,47838818057665;0,04998;42;7;12;12;11;481;284;178;57;0,0126308811716511;0,084414745102845;0,259048456845735;2,56941684617862;0,0499772680919961;44;5;9;11;19;438;276;195;91;0,0075013349350116;0,0499596279205497;0,185365604529597;2,31940927762963;0,0487489581663869;42;7;11;12;12;479;285;179;57;0,0123650314591562;0,0839866952868553;0,260754554175704;2,56941684617862;0,0498553289354834;43;6;12;11;14;451;307;177;65;0,0089005405976262;0,0853403176570071;0,230789716497026;2,46964347910525;0,0492685503940612
"chi5.txt";5051,940520634;17;2;6;4;5;215;432;254;99;0,323030558144091;0,760946490520807;1,08992465603935;8,4408898171484;0,04998;17;4;5;4;4;343;308;260;89;0,596994788213983;0,488372300182417;1,20416037642883;8,42266584500009;0,0494606540503748;19;5;4;5;5;343;308;260;89;0,596994788213983;0,488372300182417;1,20416037642883;8,42266584500009;0,0459276204600027;17;4;4;5;4;334;317;262;87;0,579153414370492;0,509881918275512;1,2353409327312;8,41876142779342;0,0486637263419172;18;4;3;3;8;315;284;230;171;0,542653647737766;0,338792371723318;0,644327392534433;8,12316688959489;0,0492152660504066
"Debtors.txt";2825374;70;17;13;19;21;2261;738;294;76;18290,246767242;105823,836878769;1235807,05923458;24508646,8024585;0,04999;69;13;16;20;20;2079;910;308;72;12219,9633514189;104620,513591354;1346923,45479845;24705371,9375;0,0499986530432855;72;13;17;19;23;2055;930;303;81;11567,4476911692;102465,868406752;1157766,54846475;24229880,4173144;0,048843735722128;70;13;17;20;20;2079;910;308;72;12219,9633514189;104620,513591354;1346923,45479845;24705371,9375;0,049598031816287;71;18;19;16;18;2290;777;239;63;19314,1738617199;183992,513338797;1420831,897598;24841339,7786337;0,049968327182169
"GAMMA2000.txt";7996,7492586906;17;6;4;4;3;860;596;380;164;0,520376801243873;0,419265152597204;0,808368990348023;3,43622345415641;0,04999;17;4;4;4;5;647;676;469;208;0,327180413587363;0,371622608998396;0,806267486897171;3,92144923417169;0,0489630201026418;17;4;4;4;5;644;668;464;224;0,324663923876027;0,357553115301063;0,736821829666917;4,05636740474128;0,0487884695530347;17;4;4;4;5;652;666;462;220;0,331488668560189;0,360079536784488;0,746784620059037;4,02506150207387;0,0487992189572824;17;4;5;3;5;640;732;370;258;0,320811526288657;0,463580463981314;0,468135980412808;4,30514263988134;0,0499230223118737
"hies_income.txt";58274058,847893;26;9;7;3;7;1773;1148;436;209;7610119,42886575;11310574,424024;21389547,1548763;393483355,706823;0,04997;25;6;6;6;7;1519;1202;635;210;5846316,62942091;7971680,51574616;28475328,3173262;393093164,086625;0,0498502863717738;28;6;6;7;9;1404;1188;722;252;5168531,1318108;6270423,04603518;24402233,6878925;377696930,039161;0,0470822363018631;26;7;6;6;7;1519;1206;634;207;5846316,62942091;8057455,4775205;28964062,9247677;394245557,407538;0,0488853252484992;26;7;6;8;5;1575;1163;685;143;6204919,71485855;7931345,24796402;44532171,0431421;410691776,177466;0,0490501877837557
