"pop";"Tx";"nVNS";"nhVNS.1";"nhVNS.2";"nhVNS.3";"nhVNS.4";"nhVNS.5";"NhVNS.1";"NhVNS.2";"NhVNS.3";"NhVNS.4";"NhVNS.5";"VhVNS.1";"VhVNS.2";"VhVNS.3";"VhVNS.4";"VhVNS.5";"cvVNS";"nSTRATMH";"nhSTRATMH.1";"nhSTRATMH.2";"nhSTRATMH.3";"nhSTRATMH.4";"nhSTRATMH.5";"NhSTRATMH.1";"NhSTRATMH.2";"NhSTRATMH.3";"NhSTRATMH.4";"NhSTRATMH.5";"VhSTRATMH.1";"VhSTRATMH.2";"VhSTRATMH.3";"VhSTRATMH.4";"VhSTRATMH.5";"cvSTRATMH";"nLH";"nhLH.1";"nhLH.2";"nhLH.3";"nhLH.4";"nhLH.5";"NhLH.1";"NhLH.2";"NhLH.3";"NhLH.4";"NhLH.5";"VhLH.1";"VhLH.2";"VhLH.3";"VhLH.4";"VhLH.5";"cvLH";"nKO";"nhKO.1";"nhKO.2";"nhKO.3";"nhKO.4";"nhKO.5";"NhKO.1";"NhKO.2";"NhKO.3";"NhKO.4";"NhKO.5";"VhKO.1";"VhKO.2";"VhKO.3";"VhKO.4";"VhKO.5";"cvKO";"nBarca";"nhBarca.1";"nhBarca.2";"nhBarca.3";"nhBarca.4";"nhBarca.5";"NhBarca.1";"NhBarca.2";"NhBarca.3";"NhBarca.4";"NhBarca.5";"VhBarca.1";"VhBarca.2";"VhBarca.3";"VhBarca.4";"VhBarca.5";"cvBarca"
"AgrMinas.txt";1197026;20;2;3;3;5;7;379;238;141;70;16;13769,8189653372;75036,3208989478;288138,164579246;2290647,56244898;83501273,4375;0,07497;20;4;5;3;2;6;510;205;83;30;16;38810,9097308727;179797,624271267;499289,396138772;1506525,79555556;83501273,4375;0,0744529966688231;23;2;3;4;6;8;286;271;177;91;19;5990,64684092132;32908,0179463787;198179,457244087;1921516,04347301;83836979,0858726;0,0710067731460311;21;5;4;3;2;7;510;205;83;30;16;38810,9097308727;179797,624271267;499289,396138772;1506525,79555556;83501273,4375;0,0714104830015354;21;5;3;3;3;7;510;174;100;44;16;38734,8099078712;113149,321827121;443765,9556;1866996,40458303;78282443,8476563;0,0713053047393361
"anaemia_Haemoglobin.txt";8857,7;10;2;2;2;2;2;27;11;48;269;369;0,457037037037037;0,0165289256198346;0,0753081597222221;0,318369563715261;0,758461380277759;0,02834;10;2;2;2;2;2;80;142;210;193;99;0,74234375;0,136425808371355;0,110993197278912;0,107974979194072;0,380771349862259;0,0112413539677339;10;2;2;2;2;2;86;187;159;168;124;0,774526771227691;0,195137407417999;0,0621526047229144;0,0734520266439908;0,421864594172737;0,0119285515945701;10;2;2;2;2;2;80;142;210;193;99;0,74234375;0,136425808371355;0,110993197278912;0,107974979194072;0,380771349862259;0,0112413539677339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"BeefFarms.txt";542350;14;2;2;3;2;5;253;100;44;20;13;8285,57118530207;79855,0875;603210,691632231;1330947,2275;18256426,3786982;0,07459;13;2;2;2;2;5;253;98;42;24;13;8285,57118530207;71170,4618908788;358952,723922902;1416464,10416667;18256426,3786982;0,074966184219458;18;2;2;3;5;6;209;102;65;40;14;3687,89844554841;14731,9166666667;211869,019171598;2051902,249375;20295988,7806122;0,0688147890341107;14;2;2;2;3;5;253;95;42;27;13;8285,57118530207;61128,4416620499;328740,447278912;1713775,84636488;18256426,3786982;0,0728058797846496;13;2;2;2;2;5;267;87;39;23;14;10911,9151861839;77647,2439761096;318622,552976281;1038241,51754746;18846275,2962828;0,0744112928973041
"beta103.txt";772267,136016;10;2;2;2;2;2;111;220;416;218;35;3735,91401631813;752,054460508242;1430,31670524109;443,49045326761;159,906692925713;0,0171;10;2;2;2;2;2;88;168;221;260;263;3002,8899983389;726,226319745381;411,488010347617;483,389879014515;782,907902239067;0,0111789258330486;10;2;2;2;2;2;91;177;211;259;262;3103,81069247281;733,365711829537;373,664036813788;479,969061031671;778,730814834611;0,0111888912937208;10;2;2;2;2;2;88;168;221;259;264;3002,8899983389;726,226319745381;411,488010347617;478,963244080421;787,004504318502;0,01118454224586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"CensoCO.txt";103377;14;4;3;3;2;2;4285;4074;1423;189;6;3,23740077255194;4,78383442157109;19,0514136545034;195,691497998376;83981,8888888889;0,07404;12;2;4;2;2;2;3580;3818;1967;592;20;2,52990106426142;2,78958208766009;7,42204999678219;76,7562089116143;32019,05;0,0748482403353583;18;2;2;5;6;3;1858;2427;4074;1584;34;1,24757948927108;0,628705119866819;4,78383442157109;56,4330935618814;20332,3987889273;0,0687519216646708;14;4;3;2;3;2;4285;3489;1651;545;7;3,23740077255194;2,80693455688151;7,20121094680059;141,152744718458;75211,2653061224;0,0692464109570231;12;3;2;3;2;2;4285;3113;2153;404;22;3,23664525311845;2,01404885940471;11,5426951600736;69,0042160161205;28160,7337528175;0,0744012268062641
"chi1.txt";939,601297267;13;3;2;2;3;3;469;239;144;114;34;0,0110834294245387;0,0398822143111059;0,0783954702104127;0,275771056457942;2,8598167007651;0,07455;13;2;3;4;2;2;438;273;172;84;33;0,0075013349350116;0,0479882689950252;0,120015540253403;0,199738156924703;2,87677069950333;0,0746643740233604;13;2;3;3;2;3;438;273;172;84;33;0,0075013349350116;0,0479882689950252;0,120015540253403;0,199738156924703;2,87677069950333;0,0729279803143325;13;2;3;3;2;3;438;273;172;84;33;0,0075013349350116;0,0479882689950252;0,120015540253403;0,199738156924703;2,87677069950333;0,0729279803143325;13;2;2;3;3;3;429;249;176;110;36;0,00667205156235582;0,0334037912547722;0,108935442621945;0,250599644038796;2,74863368588733;0,0738551873457925
"chi5.txt";5051,940520634;10;2;2;2;2;2;298;87;226;260;129;0,513338271117196;0,0247716151347507;0,245215242445587;0,963954202596966;8,37145259163876;0,07133;10;2;2;2;2;2;224;318;218;165;75;0,34409356181217;0,329180011862437;0,487052912223109;0,771140392041203;8,43528071596916;0,052379791488216;10;2;2;2;2;2;223;310;222;170;75;0,341671368704792;0,30794593511826;0,494938387981525;0,802927479356938;8,43528071596916;0,0522827892717391;10;2;2;2;2;2;223;311;221;170;75;0,341671368704792;0,310458195923289;0,491412963761283;0,802927479356938;8,43528071596916;0,0522908729028002;10;2;2;2;2;2;381;289;113;191;26;0,679022993200929;0,494931252103872;0,14516478342522;2,14552156884714;7,56626819128787;0,0661106399863223
"Debtors.txt";2825374;21;6;4;4;4;3;2151;774;299;118;27;14407,4719997683;65037,018782258;462763,061956801;2536670,4085033;24983958,1508916;0,075;21;5;4;4;4;4;1917;943;336;137;36;8354,77500517703;47955,3815522986;360772,256368693;2024518,45159572;26120050,2121914;0,0738584353710252;23;4;5;5;4;5;1856;990;343;139;41;7238,02690452911;46152,6932313029;343135,394163996;1739602,82542311;26097549,6395003;0,0699343828491592;21;4;5;4;4;4;1917;955;324;136;37;8354,77500517703;51692,0324925304;349657,331123304;1950201,07677336;26149239,2140248;0,0732542887029838;21;3;4;5;4;5;1790;1014;382;138;45;6189,12585784746;38691,2364731869;363477,912321281;1524356,91822485;25436771,4058711;0,0735461724101915
"GAMMA2000.txt";7996,7492586906;10;2;2;2;2;2;264;620;257;589;270;0,0828519441193254;0,235790052243314;0,0567427280086263;0,853078030619102;4,41564225004653;0,07473;10;2;2;2;2;2;499;578;456;318;149;0,21204898524135;0,204225787173184;0,343237062968734;0,73186781195294;3,23015597854765;0,0512505176027153;10;2;2;2;2;2;476;546;452;353;173;0,19538648475323;0,172938588840299;0,291851953121376;0,700931477853917;3,54479446566634;0,0520522900668956;10;2;2;2;2;2;499;578;456;318;149;0,21204898524135;0,204225787173184;0,343237062968734;0,73186781195294;3,23015597854765;0,0512505176027153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
"hies_income.txt";58274058,847893;10;2;2;2;2;2;1025;1273;582;578;108;3517296,66679988;4644302,40507436;4387277,37663812;52371710,9599931;418907963,326506;0,0717;10;2;2;2;2;2;1283;1078;714;372;119;4548983,31056868;3890432,97844624;9266189,91629287;33462595,3629444;415769492,573691;0,0631608002637082;10;2;2;2;2;2;1282;1072;718;375;119;4544461,8686407;3821745,16600459;9239535,39502122;33707886,2410847;415769492,573691;0,0631612579627149;10;2;2;2;2;2;1336;953;816;323;138;4806721,26485451;2908309,49312931;11951086,912569;25121093,7973724;414405426,496704;0,0659308844538955;10;2;2;2;2;2;1380;960;767;320;139;5033740,2433163;3174045,0805746;11220021,4555838;24602079,9852018;411214098,056088;0,0658037759646643
