pop;Tx;nVNS;nhVNS.1;nhVNS.2;nhVNS.3;nhVNS.4;nhVNS.5;nhVNS.6;nhVNS.7;NhVNS.1;NhVNS.2;NhVNS.3;NhVNS.4;NhVNS.5;NhVNS.6;NhVNS.7;VhVNS.1;VhVNS.2;VhVNS.3;VhVNS.4;VhVNS.5;VhVNS.6;VhVNS.7;cvVNS;nSTRATMH;nhSTRATMH.1;nhSTRATMH.2;nhSTRATMH.3;nhSTRATMH.4;nhSTRATMH.5;nhSTRATMH.6;nhSTRATMH.7;NhSTRATMH.1;NhSTRATMH.2;NhSTRATMH.3;NhSTRATMH.4;NhSTRATMH.5;NhSTRATMH.6;NhSTRATMH.7;VhSTRATMH.1;VhSTRATMH.2;VhSTRATMH.3;VhSTRATMH.4;VhSTRATMH.5;VhSTRATMH.6;VhSTRATMH.7;cvSTRATMH;nLH;nhLH.1;nhLH.2;nhLH.3;nhLH.4;nhLH.5;nhLH.6;nhLH.7;NhLH.1;NhLH.2;NhLH.3;NhLH.4;NhLH.5;NhLH.6;NhLH.7;VhLH.1;VhLH.2;VhLH.3;VhLH.4;VhLH.5;VhLH.6;VhLH.7;cvLH;nKO;nhKO.1;nhKO.2;nhKO.3;nhKO.4;nhKO.5;nhKO.6;nhKO.7;NhKO.1;NhKO.2;NhKO.3;NhKO.4;NhKO.5;NhKO.6;NhKO.7;VhKO.1;VhKO.2;VhKO.3;VhKO.4;VhKO.5;VhKO.6;VhKO.7;cvKO;nBarca;nhBarca.1;nhBarca.2;nhBarca.3;nhBarca.4;nhBarca.5;nhBarca.6;nhBarca.7;NhBarca.1;NhBarca.2;NhBarca.3;NhBarca.4;NhBarca.5;NhBarca.6;NhBarca.7;VhBarca.1;VhBarca.2;VhBarca.3;VhBarca.4;VhBarca.5;VhBarca.6;VhBarca.7;cvBarca
AgrMinas.txt;1197026;41;4;4;3;3;5;3;19;323;220;115;76;64;27;19;8501,574347;22360,62512;46828,71955;75901,70966;351515,4053;886296,085;83836979,09;0,02992;42;4;5;3;3;5;6;16;284;259;115;74;62;34;16;5839,616743;26489,07241;46828,71955;66809,24489;312033,6433;1685820,018;83501273,44;0,029779524;59;2;2;2;4;9;14;26;171;115;163;133;152;84;26;1316,270921;1706,399698;6158,681471;25935,28645;163805,5657;1217886,215;81196031,4;0,028073565;42;5;4;4;4;6;3;16;331;206;120;84;65;22;16;9039,410265;19152,95346;50834,99889;113266,5356;467594,5292;1035296,231;83501273,44;0,028995192;47;6;10;5;10;5;4;7;354;249;112;82;28;12;7;10989,53767;62872,42095;73925,01264;477788,7948;902227,5033;4441571,311;84687463,56;0,029910159
anaemia_Haemoglobin.txt;8857,7;14;2;2;2;2;2;2;2;61;27;162;105;276;85;8;0,658263908;0,024691358;0,156897196;0,03052517;0,212390779;0,157516955;0,155;0,01236;14;2;2;2;2;2;2;2;77;105;121;148;136;106;31;0,727694384;0,088322902;0,049425586;0,051418462;0,043987889;0,109449092;0,31496358;0,00768678;14;2;2;2;2;2;2;2;77;117;109;95;103;130;93;0,727694384;0,106199138;0,037586062;0,021489197;0,029678575;0,06366213;0,372265002;0,008287733;14;2;2;2;2;2;2;2;33;55;106;129;142;160;99;0,481671258;0,108859504;0,072210751;0,050932035;0,047661674;0,078121484;0,38077135;0,00758151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
BeefFarms.txt;542350;31;2;2;2;2;4;4;15;156;104;65;35;33;22;15;1504,466305;4506,359098;21346,90793;52809,85633;264244,2222;839037,407;22139850,86;0,02987;31;3;3;2;2;3;3;15;214;99;39;23;25;15;15;4029,408005;16164,69421;27817,65023;58584,8242;437319,2;627960,3822;22139850,86;0,029954638;50;2;2;2;2;2;4;36;95;94;64;56;47;37;37;418,7383934;970,6700996;2056,827148;6872,748724;47122,6057;307086,9218;30314614,36;0,025763917;31;3;2;2;2;2;4;16;210;93;47;26;17;21;16;3755,799637;10129,50353;32191,53101;79482,61538;66458,65052;730711,932;24117427,71;0,027951795;30;3;2;2;5;2;2;14;218;91;45;39;15;8;14;4290,541948;11691,21797;36880,64307;318622,553;169429,4767;366770,8516;18846275,3;0,029723897
beta103.txt;772267,136;14;2;2;2;2;2;2;2;168;112;232;194;195;47;52;5046,720769;188,7599629;493,1128767;262,0327384;312,4913326;31,39555804;169,5556446;0,01267;14;2;2;2;2;2;2;2;72;107;142;161;198;174;146;2506,532031;679,7921799;254,4889831;229,8052695;258,7290796;248,6839792;382,1877691;0,006896477;14;2;2;2;2;2;2;2;88;163;186;140;143;154;126;3002,889998;702,0408824;278,1645475;174,7513812;151,9524159;184,995524;324,4362639;0,007467187;14;2;2;2;2;2;2;2;72;110;140;156;200;175;147;2506,532031;694,1264592;243,2796135;211,8448149;265,0219488;252,4023503;385,0064827;0,006913507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
CensoCO.txt;103377;34;7;6;4;6;5;4;2;2685;3044;2045;1507;570;123;3;1,836894257;1,237079988;1,235558372;5,011816125;19,26566944;319,3548814;124298;0,02992;34;4;4;5;6;7;6;2;1858;2427;2592;1880;994;222;4;1,247579489;0,62870512;1,208422491;2,741235853;13,23619787;231,2044477;108453,1875;0,029603598;206;4;4;2;4;7;8;177;1858;1722;705;1444;1669;1191;1388;1,247579489;0,249610155;0;0,245671745;0,708571092;1,229195174;722,7162271;0,028609536;38;11;6;7;5;5;2;2;3580;2825;2184;962;378;46;2;2,529901064;1,225295513;2,698925921;5,880616223;37,99997201;457,7906427;126380,25;0,029045297;36;4;7;7;4;7;6;1;1858;3244;2672;1243;814;145;1;1,246908026;1,262024545;1,888310516;2,605649769;19,56314408;492,0603931;0;0,029626171
chi1.txt;939,6012973;38;6;6;6;7;5;5;3;403;213;150;119;71;36;8;0,004922105;0,01881206;0,042753244;0,066665805;0,117468529;0,359985276;3,996955762;0,02999;37;4;4;5;4;4;6;10;363;191;149;104;94;69;30;0,002946943;0,011803579;0,020019693;0,03442297;0,054195047;0,174116226;2,948926737;0,029999138;41;4;4;4;5;6;6;12;343;184;151;109;111;69;33;0,002253325;0,009460786;0,016413362;0,033521665;0,067152012;0,151778181;2,8767707;0,028507235;38;4;4;5;4;4;6;11;359;188;155;105;90;71;32;0,00279472;0,011119799;0,020982429;0,035049947;0,046683269;0,166138087;2,901830741;0,029553639;38;7;3;3;5;4;8;8;427;162;118;116;83;73;21;0,006510973;0,010262259;0,014695974;0,04539858;0,051323122;0,279545966;3,07094685;0,029971211
chi5.txt;5051,940521;17;2;2;2;2;2;4;3;167;168;175;174;148;124;44;0,223797574;0,084902142;0,115465063;0,274595813;0,31823244;1,04700162;8,953740077;0,02992;15;2;2;3;2;2;2;2;194;234;188;171;126;64;23;0,276673708;0,149015403;0,187739446;0,323129649;0,436663091;0,804628636;7,500093207;0,029929526;21;2;2;2;3;3;3;6;128;138;192;181;158;129;74;0,153266462;0,089276383;0,112491243;0,205982577;0,286660566;0,558864342;8,44992066;0,027135167;15;3;2;2;2;2;2;2;206;222;182;157;128;79;26;0,302459868;0,131078718;0,170431314;0,261998932;0,390020038;0,982410191;7,868918919;0,029349652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Inf
Debtors.txt;2825374;60;7;7;7;6;7;10;16;1533;838;476;234;157;95;36;3211,046397;9312,093935;25992,54584;96157,39333;316456,1165;1547982,356;26120050,21;0,02998;60;9;10;10;7;5;8;11;1608;956;421;202;101;56;25;3917,705185;17049,1956;69545,43278;185030,6831;471938,7115;1652187,89;24399261,38;0,029932842;64;5;5;6;7;10;13;18;1321;765;587;323;212;120;41;1917,940572;5246,735194;13750,01031;63174,8454;255185,2206;1540532,662;26097549,64;0,02953031;61;7;7;7;7;8;13;12;1501;852;493;245;154;98;26;2949,678591;9214,827684;26704,95089;110017,9045;360506,4893;2362049,483;24644840,08;0,029607046;63;12;9;13;8;7;8;6;1782;806;441;180;98;47;15;6078,938179;14883,52598;109977,4357;221434,9365;665551,882;3139072,127;19641211,15;0,029871283
GAMMA2000.txt;7996,749259;16;2;2;2;2;2;3;3;358;425;352;284;263;201;117;0,124688577;0,108797823;0,095979216;0,127205608;0,228539998;0,615367588;2,830190571;0,02994;16;3;3;2;2;2;2;2;439;455;385;290;204;145;82;0,170388961;0,115789954;0,139115878;0,17990227;0,232787215;0,640467279;2,32494892;0,029497268;19;2;2;2;2;3;3;5;320;329;366;329;292;221;143;0,106471517;0,072314456;0,080198691;0,12210513;0,218373202;0,504375135;3,164874535;0,027383369;17;3;2;2;2;3;2;3;416;402;350;303;271;154;104;0,157033067;0,09253877;0,100580257;0,162266517;0,302998433;0,524730517;2,647664484;0,028708743;18;2;5;2;2;3;2;2;336;596;378;225;283;100;82;0,113323671;0,210746592;0,144133665;0,104871739;0,500329301;0,3964706;2,296595884;0,029795155
hies_income.txt;58274058,85;26;3;2;3;4;5;4;5;669;560;786;654;545;260;92;2328968,075;516855,1555;1562387,83;3368073,625;11996649,62;33596710,7;419962826,1;0,02993;24;4;4;3;3;3;5;2;872;958;719;511;283;185;38;2987564,188;1989261,326;3039471,826;5622966,025;11994572,68;64805966,23;353577745,2;0,02981268;27;3;3;3;3;4;5;6;628;803;766;564;420;290;95;2200060,79;1154896,437;1773242,541;3161145,414;7427451,168;34910221,82;419534912,3;0,028232186;25;3;3;3;4;4;4;4;640;832;776;621;413;214;70;2237728,565;1263587,314;1968783,325;4632174,607;12238338,96;39516646,71;424067842,8;0,029134906;25;3;3;5;2;4;4;4;712;878;900;381;412;212;71;2459592,831;1497272,593;3731528,189;2314376,875;12244702,79;38204448,99;417731606,3;0,029712945
